f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.3571;0.8;hubs;1;0.99;[]
0.7750;0.8;authorities;1;0.99;[]
0.7214;0.8;max_clique;1;0.99;[]
0.6494;0.8;cliques_count;1;0.99;[]
0.4462;0.8;work_at_weekend;1;0.99;[]
0.5179;0.8;neighborhood_variability_sender;1;0.99;[]
0.3714;0.8;neighborhood_variability_recipient;1;0.99;[]
0.4815;0.8;neighborhood_variability_all;1;0.99;[]
0.7618;0.7;in_degree;1;0.7;[]
0.7349;0.7;out_degree;1;0.7;[]
0.4923;0.7;betweenness;1;0.7;[]
0.5179;0.7;closeness;1;0.7;[]
0.5441;0.7;eigenvector;1;0.7;[]
0.3721;0.7;clustering_coeff;1;0.7;[]
0.6346;0.7;pagerank;1;0.7;[]
0.3571;0.7;hubs;1;0.7;[]
0.5179;0.7;authorities;1;0.7;[]
0.7750;0.7;max_clique;1;0.7;[]
0.6494;0.7;cliques_count;1;0.7;[]
0.5846;0.7;work_at_weekend;1;0.7;[]
0.5441;0.7;neighborhood_variability_sender;1;0.7;[]
0.4214;0.7;neighborhood_variability_recipient;1;0.7;[]
0.3571;0.7;neighborhood_variability_all;1;0.7;[]
0.7618;0.7;in_degree;1;0.8;[]
0.7349;0.7;out_degree;1;0.8;[]
0.4923;0.7;betweenness;1;0.8;[]
0.5179;0.7;closeness;1;0.8;[]
0.5441;0.7;eigenvector;1;0.8;[]
0.3721;0.7;clustering_coeff;1;0.8;[]
0.6346;0.7;pagerank;1;0.8;[]
0.3571;0.7;hubs;1;0.8;[]
0.5179;0.7;authorities;1;0.8;[]
0.7750;0.7;max_clique;1;0.8;[]
0.6494;0.7;cliques_count;1;0.8;[]
0.5846;0.7;work_at_weekend;1;0.8;[]
0.5441;0.7;neighborhood_variability_sender;1;0.8;[]
0.4214;0.7;neighborhood_variability_recipient;1;0.8;[]
0.3571;0.7;neighborhood_variability_all;1;0.8;[]
0.7618;0.7;in_degree;1;0.9;[]
0.7349;0.7;out_degree;1;0.9;[]
0.4923;0.7;betweenness;1;0.9;[]
0.5179;0.7;closeness;1;0.9;[]
0.5441;0.7;eigenvector;1;0.9;[]
0.3721;0.7;clustering_coeff;1;0.9;[]
0.6346;0.7;pagerank;1;0.9;[]
0.3571;0.7;hubs;1;0.9;[]
0.5179;0.7;authorities;1;0.9;[]
0.7750;0.7;max_clique;1;0.9;[]
0.6494;0.7;cliques_count;1;0.9;[]
0.5846;0.7;work_at_weekend;1;0.9;[]
0.5441;0.7;neighborhood_variability_sender;1;0.9;[]
0.4214;0.7;neighborhood_variability_recipient;1;0.9;[]
0.3571;0.7;neighborhood_variability_all;1;0.9;[]
0.8052;0.7;in_degree;1;0.99;[]
0.6769;0.7;out_degree;1;0.99;[]
0.4923;0.7;betweenness;1;0.99;[]
0.5179;0.7;closeness;1;0.99;[]
0.5441;0.7;eigenvector;1;0.99;[]
0.3721;0.7;clustering_coeff;1;0.99;[]
0.6346;0.7;pagerank;1;0.99;[]
0.3571;0.7;hubs;1;0.99;[]
0.5179;0.7;authorities;1;0.99;[]
0.7750;0.7;max_clique;1;0.99;[]
0.5441;0.7;cliques_count;1;0.99;[]
0.5846;0.7;work_at_weekend;1;0.99;[]
0.5441;0.7;neighborhood_variability_sender;1;0.99;[]
0.4214;0.7;neighborhood_variability_recipient;1;0.99;[]
0.3571;0.7;neighborhood_variability_all;1;0.99;[]
0.5556;0.6;in_degree;1;0.7;[]
0.3793;0.6;out_degree;1;0.7;[]
0.5846;0.6;betweenness;1;0.7;[]
0.4995;0.6;closeness;1;0.7;[]
0.5179;0.6;eigenvector;1;0.7;[]
0.3793;0.6;clustering_coeff;1;0.7;[]
0.6486;0.6;pagerank;1;0.7;[]
0.4225;0.6;hubs;1;0.7;[]
0.5846;0.6;authorities;1;0.7;[]
0.7714;0.6;max_clique;1;0.7;[]
0.6990;0.6;cliques_count;1;0.7;[]
0.5353;0.6;work_at_weekend;1;0.7;[]
0.5556;0.6;neighborhood_variability_sender;1;0.7;[]
0.4815;0.6;neighborhood_variability_recipient;1;0.7;[]
0.4995;0.6;neighborhood_variability_all;1;0.7;[]
0.5556;0.6;in_degree;1;0.8;[]
