f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.6667;0.9;in_degree;3;0.99;[]
0.5500;0.9;out_degree;3;0.99;[]
0.4000;0.9;betweenness;3;0.99;[]
0.4000;0.9;closeness;3;0.99;[]
0.7750;0.9;eigenvector;3;0.99;[]
0.4000;0.9;clustering_coeff;3;0.99;[]
0.4156;0.9;pagerank;3;0.99;[]
0.7500;0.9;hubs;3;0.99;[]
0.6667;0.9;authorities;3;0.99;[]
0.5500;0.9;max_clique;3;0.99;[]
0.6494;0.9;cliques_count;3;0.99;[]
0.3250;0.9;overtime;3;0.99;[]
0.4444;0.9;work_at_weekend;3;0.99;[]
0.4000;0.9;neighborhood_variability_sender;3;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;3;0.99;[]
0.4000;0.9;neighborhood_variability_all;3;0.99;[]
0.5500;0.9;in_degree;4;0.7;[]
0.4156;0.9;out_degree;4;0.7;[]
0.4000;0.9;betweenness;4;0.7;[]
0.6786;0.9;closeness;4;0.7;[]
0.6494;0.9;eigenvector;4;0.7;[]
0.4000;0.9;clustering_coeff;4;0.7;[]
0.4156;0.9;pagerank;4;0.7;[]
0.7500;0.9;hubs;4;0.7;[]
0.7750;0.9;authorities;4;0.7;[]
0.5500;0.9;max_clique;4;0.7;[]
0.5500;0.9;cliques_count;4;0.7;[]
0.5500;0.9;overtime;4;0.7;[]
0.5500;0.9;work_at_weekend;4;0.7;[]
0.4000;0.9;neighborhood_variability_sender;4;0.7;[]
0.6494;0.9;neighborhood_variability_recipient;4;0.7;[]
0.8831;0.9;neighborhood_variability_all;4;0.7;[]
0.5500;0.9;in_degree;4;0.8;[]
0.4156;0.9;out_degree;4;0.8;[]
0.4000;0.9;betweenness;4;0.8;[]
0.6786;0.9;closeness;4;0.8;[]
0.6494;0.9;eigenvector;4;0.8;[]
0.4000;0.9;clustering_coeff;4;0.8;[]
0.4156;0.9;pagerank;4;0.8;[]
0.7500;0.9;hubs;4;0.8;[]
0.7750;0.9;authorities;4;0.8;[]
0.5500;0.9;max_clique;4;0.8;[]
0.5500;0.9;cliques_count;4;0.8;[]
0.5500;0.9;overtime;4;0.8;[]
0.5500;0.9;work_at_weekend;4;0.8;[]
0.4000;0.9;neighborhood_variability_sender;4;0.8;[]
0.6494;0.9;neighborhood_variability_recipient;4;0.8;[]
0.8831;0.9;neighborhood_variability_all;4;0.8;[]
0.5500;0.9;in_degree;4;0.9;[]
0.4156;0.9;out_degree;4;0.9;[]
0.4000;0.9;betweenness;4;0.9;[]
0.4000;0.9;closeness;4;0.9;[]
0.4000;0.9;eigenvector;4;0.9;[]
0.4000;0.9;clustering_coeff;4;0.9;[]
0.4156;0.9;pagerank;4;0.9;[]
0.7500;0.9;hubs;4;0.9;[]
0.7750;0.9;authorities;4;0.9;[]
0.5500;0.9;max_clique;4;0.9;[]
0.5500;0.9;cliques_count;4;0.9;[]
0.5500;0.9;overtime;4;0.9;[]
0.5500;0.9;work_at_weekend;4;0.9;[]
0.4000;0.9;neighborhood_variability_sender;4;0.9;[]
0.4000;0.9;neighborhood_variability_recipient;4;0.9;[]
0.4000;0.9;neighborhood_variability_all;4;0.9;[]
0.5500;0.9;in_degree;4;0.99;[]
0.4156;0.9;out_degree;4;0.99;[]
0.4000;0.9;betweenness;4;0.99;[]
0.4000;0.9;closeness;4;0.99;[]
0.4000;0.9;eigenvector;4;0.99;[]
0.4000;0.9;clustering_coeff;4;0.99;[]
0.4156;0.9;pagerank;4;0.99;[]
0.7500;0.9;hubs;4;0.99;[]
0.7750;0.9;authorities;4;0.99;[]
0.5500;0.9;max_clique;4;0.99;[]
0.5500;0.9;cliques_count;4;0.99;[]
0.5500;0.9;overtime;4;0.99;[]
0.5500;0.9;work_at_weekend;4;0.99;[]
0.4000;0.9;neighborhood_variability_sender;4;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;4;0.99;[]
0.4000;0.9;neighborhood_variability_all;4;0.99;[]
0.5500;0.9;in_degree;5;0.7;[]
0.4156;0.9;out_degree;5;0.7;[]
0.3571;0.9;betweenness;5;0.7;[]
0.6786;0.9;closeness;5;0.7;[]
0.7750;0.9;eigenvector;5;0.7;[]
0.4000;0.9;clustering_coeff;5;0.7;[]
0.4156;0.9;pagerank;5;0.7;[]
0.7500;0.9;hubs;5;0.7;[]
0.7750;0.9;authorities;5;0.7;[]
0.5500;0.9;max_clique;5;0.7;[]
0.5500;0.9;cliques_count;5;0.7;[]
0.3250;0.9;overtime;5;0.7;[]
0.4444;0.9;work_at_weekend;5;0.7;[]
0.4000;0.9;neighborhood_variability_sender;5;0.7;[]
0.4000;0.9;neighborhood_variability_recipient;5;0.7;[]
0.4000;0.9;neighborhood_variability_all;5;0.7;[]
0.5500;0.9;in_degree;5;0.8;[]
0.4156;0.9;out_degree;5;0.8;[]
0.3571;0.9;betweenness;5;0.8;[]
0.6786;0.9;closeness;5;0.8;[]
0.7750;0.9;eigenvector;5;0.8;[]
0.4000;0.9;clustering_coeff;5;0.8;[]
0.4156;0.9;pagerank;5;0.8;[]
0.7500;0.9;hubs;5;0.8;[]
0.7750;0.9;authorities;5;0.8;[]
0.5500;0.9;max_clique;5;0.8;[]
0.5500;0.9;cliques_count;5;0.8;[]
0.3250;0.9;overtime;5;0.8;[]
0.4444;0.9;work_at_weekend;5;0.8;[]
0.4000;0.9;neighborhood_variability_sender;5;0.8;[]
0.4000;0.9;neighborhood_variability_recipient;5;0.8;[]
0.4000;0.9;neighborhood_variability_all;5;0.8;[]
0.5500;0.9;in_degree;5;0.9;[]
0.4156;0.9;out_degree;5;0.9;[]
0.3571;0.9;betweenness;5;0.9;[]
0.4000;0.9;closeness;5;0.9;[]
0.4000;0.9;eigenvector;5;0.9;[]
0.4000;0.9;clustering_coeff;5;0.9;[]
0.4156;0.9;pagerank;5;0.9;[]
0.7500;0.9;hubs;5;0.9;[]
0.7750;0.9;authorities;5;0.9;[]
0.5500;0.9;max_clique;5;0.9;[]
0.5500;0.9;cliques_count;5;0.9;[]
0.3250;0.9;overtime;5;0.9;[]
0.4444;0.9;work_at_weekend;5;0.9;[]
0.4000;0.9;neighborhood_variability_sender;5;0.9;[]
0.4000;0.9;neighborhood_variability_recipient;5;0.9;[]
0.4000;0.9;neighborhood_variability_all;5;0.9;[]
0.5500;0.9;in_degree;5;0.99;[]
0.4156;0.9;out_degree;5;0.99;[]
0.3571;0.9;betweenness;5;0.99;[]
0.4000;0.9;closeness;5;0.99;[]
0.4000;0.9;eigenvector;5;0.99;[]
0.4000;0.9;clustering_coeff;5;0.99;[]
0.4156;0.9;pagerank;5;0.99;[]
0.7500;0.9;hubs;5;0.99;[]
0.7750;0.9;authorities;5;0.99;[]
0.5500;0.9;max_clique;5;0.99;[]
0.5500;0.9;cliques_count;5;0.99;[]
0.3250;0.9;overtime;5;0.99;[]
0.4444;0.9;work_at_weekend;5;0.99;[]
0.4000;0.9;neighborhood_variability_sender;5;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;5;0.99;[]
0.4000;0.9;neighborhood_variability_all;5;0.99;[]
0.6667;0.9;in_degree;6;0.7;[]
0.4444;0.9;out_degree;6;0.7;[]
0.4000;0.9;betweenness;6;0.7;[]
0.8615;0.9;closeness;6;0.7;[]
0.6494;0.9;eigenvector;6;0.7;[]
0.4000;0.9;clustering_coeff;6;0.7;[]
0.4156;0.9;pagerank;6;0.7;[]
0.7500;0.9;hubs;6;0.7;[]
0.4000;0.9;authorities;6;0.7;[]
0.6786;0.9;max_clique;6;0.7;[]
0.6494;0.9;cliques_count;6;0.7;[]
0.3250;0.9;overtime;6;0.7;[]
0.5500;0.9;work_at_weekend;6;0.7;[]
0.4000;0.9;neighborhood_variability_sender;6;0.7;[]
0.4000;0.9;neighborhood_variability_recipient;6;0.7;[]
0.7500;0.9;neighborhood_variability_all;6;0.7;[]
0.6667;0.9;in_degree;6;0.8;[]
0.4444;0.9;out_degree;6;0.8;[]
0.4000;0.9;betweenness;6;0.8;[]
0.8615;0.9;closeness;6;0.8;[]
0.6494;0.9;eigenvector;6;0.8;[]
0.4000;0.9;clustering_coeff;6;0.8;[]
0.4156;0.9;pagerank;6;0.8;[]
0.7500;0.9;hubs;6;0.8;[]
0.4000;0.9;authorities;6;0.8;[]
0.6786;0.9;max_clique;6;0.8;[]
0.6494;0.9;cliques_count;6;0.8;[]
0.3250;0.9;overtime;6;0.8;[]
0.5500;0.9;work_at_weekend;6;0.8;[]
0.4000;0.9;neighborhood_variability_sender;6;0.8;[]
0.4000;0.9;neighborhood_variability_recipient;6;0.8;[]
0.7500;0.9;neighborhood_variability_all;6;0.8;[]
0.6667;0.9;in_degree;6;0.9;[]
0.4444;0.9;out_degree;6;0.9;[]
0.4000;0.9;betweenness;6;0.9;[]
0.6786;0.9;closeness;6;0.9;[]
0.4000;0.9;eigenvector;6;0.9;[]
0.4000;0.9;clustering_coeff;6;0.9;[]
0.4156;0.9;pagerank;6;0.9;[]
0.7500;0.9;hubs;6;0.9;[]
0.4000;0.9;authorities;6;0.9;[]
0.4444;0.9;max_clique;6;0.9;[]
0.6494;0.9;cliques_count;6;0.9;[]
0.2222;0.9;overtime;6;0.9;[]
0.5500;0.9;work_at_weekend;6;0.9;[]
0.4000;0.9;neighborhood_variability_sender;6;0.9;[]
0.4000;0.9;neighborhood_variability_recipient;6;0.9;[]
0.7500;0.9;neighborhood_variability_all;6;0.9;[]
0.6667;0.9;in_degree;6;0.99;[]
0.4444;0.9;out_degree;6;0.99;[]
0.4000;0.9;betweenness;6;0.99;[]
0.6786;0.9;closeness;6;0.99;[]
0.4000;0.9;eigenvector;6;0.99;[]
0.4000;0.9;clustering_coeff;6;0.99;[]
0.4156;0.9;pagerank;6;0.99;[]
0.7500;0.9;hubs;6;0.99;[]
0.4000;0.9;authorities;6;0.99;[]
0.4444;0.9;max_clique;6;0.99;[]
0.6494;0.9;cliques_count;6;0.99;[]
0.2222;0.9;overtime;6;0.99;[]
0.5500;0.9;work_at_weekend;6;0.99;[]
0.4000;0.9;neighborhood_variability_sender;6;0.99;[]
0.4000;0.9;neighborhood_variability_recipient;6;0.99;[]
